Frame,Condition,X1,Y1,X2,Y2,Confidence,Width,Beyblade Type,Status,Match Duration for All Frames (seconds)
40,spinning,105,295,244,405,0.8927310705184937,139,Beyblade 1,Loser,11.3
41,spinning,150,192,241,266,0.9321408867835999,91,Beyblade 2,Winner,11.3
41,spinning,108,300,252,407,0.8746097087860107,144,Beyblade 1,Loser,11.3
42,spinning,136,197,228,272,0.9210994243621826,92,Beyblade 2,Winner,11.3
42,spinning,114,300,256,406,0.8710471987724304,142,Beyblade 1,Loser,11.3
43,spinning,125,205,217,280,0.9407734870910645,92,Beyblade 2,Winner,11.3
43,spinning,119,300,266,407,0.8695844411849976,147,Beyblade 1,Loser,11.3
44,spinning,117,213,210,288,0.9467195272445679,93,Beyblade 2,Winner,11.3
44,spinning,129,299,271,406,0.8907075524330139,142,Beyblade 1,Loser,11.3
45,spinning,112,225,204,299,0.9494326710700989,92,Beyblade 2,Winner,11.3
45,spinning,136,297,277,404,0.8461477160453796,141,Beyblade 1,Loser,11.3
46,spinning,109,235,202,310,0.9313879609107971,93,Beyblade 2,Winner,11.3
46,spinning,145,294,287,402,0.8352660536766052,142,Beyblade 1,Loser,11.3
47,spinning,105,242,199,319,0.9212225079536438,94,Beyblade 2,Winner,11.3
47,spinning,156,295,295,402,0.8341728448867798,139,Beyblade 1,Loser,11.3
48,spinning,105,249,199,326,0.9324615597724915,94,Beyblade 2,Winner,11.3
48,spinning,165,293,304,402,0.7890529632568359,139,Beyblade 1,Loser,11.3
49,spinning,106,255,199,332,0.9041922092437744,93,Beyblade 2,Winner,11.3
49,spinning,177,291,313,402,0.8280946612358093,136,Beyblade 1,Loser,11.3
50,spinning,106,260,200,336,0.9267189502716064,94,Beyblade 2,Winner,11.3
50,spinning,184,291,325,401,0.8347991704940796,141,Beyblade 1,Loser,11.3
51,spinning,108,265,203,341,0.925504207611084,95,Beyblade 2,Winner,11.3
51,spinning,192,281,330,395,0.8390439748764038,138,Beyblade 1,Loser,11.3
52,spinning,113,270,204,346,0.935554027557373,91,Beyblade 2,Winner,11.3
52,spinning,194,279,335,390,0.7806079387664795,141,Beyblade 1,Loser,11.3
53,spinning,105,270,197,344,0.9286103248596191,92,Beyblade 2,Winner,11.3
53,spinning,211,278,350,384,0.8214936256408691,139,Beyblade 1,Loser,11.3
54,spinning,96,268,190,343,0.9034831523895264,94,Beyblade 2,Winner,11.3
54,spinning,223,271,359,375,0.8367782831192017,136,Beyblade 1,Loser,11.3
55,spinning,94,268,185,341,0.9179089069366455,91,Beyblade 2,Winner,11.3
55,spinning,232,266,360,369,0.8553398847579956,128,Beyblade 1,Loser,11.3
56,spinning,90,269,182,343,0.9195416569709778,92,Beyblade 2,Winner,11.3
56,spinning,235,257,360,361,0.9091916084289551,125,Beyblade 1,Loser,11.3
57,spinning,90,271,183,345,0.939414918422699,93,Beyblade 2,Winner,11.3
57,spinning,234,247,360,349,0.9183882474899292,126,Beyblade 1,Loser,11.3
58,spinning,92,273,186,348,0.9421363472938538,94,Beyblade 2,Winner,11.3
58,spinning,233,238,360,337,0.9142220616340637,127,Beyblade 1,Loser,11.3
59,spinning,95,278,189,352,0.9296741485595703,94,Beyblade 2,Winner,11.3
59,spinning,227,228,360,327,0.8691354990005493,133,Beyblade 1,Loser,11.3
60,spinning,101,282,194,357,0.9273392558097839,93,Beyblade 2,Winner,11.3
60,spinning,215,218,356,320,0.7601272463798523,141,Beyblade 1,Loser,11.3
61,spinning,109,288,202,363,0.9266020655632019,93,Beyblade 2,Winner,11.3
61,spinning,201,209,337,310,0.8859407305717468,136,Beyblade 1,Loser,11.3
62,spinning,117,292,211,368,0.9373891353607178,94,Beyblade 2,Winner,11.3
62,spinning,181,206,317,305,0.8470384478569031,136,Beyblade 1,Loser,11.3
63,spinning,128,294,223,369,0.9211047887802124,95,Beyblade 2,Winner,11.3
63,spinning,158,205,294,300,0.8373530507087708,136,Beyblade 1,Loser,11.3
64,spinning,122,312,218,394,0.9139460325241089,96,Beyblade 2,Winner,11.3
64,spinning,151,182,285,284,0.8243010640144348,134,Beyblade 1,Loser,11.3
65,spinning,107,339,204,408,0.9254795908927917,97,Beyblade 2,Winner,11.3
65,spinning,150,155,283,252,0.8086915016174316,133,Beyblade 1,Loser,11.3
66,spinning,147,133,280,232,0.7628975510597229,133,,,11.3
67,spinning,143,115,276,215,0.7599303722381592,133,,,11.3
68,spinning,134,110,267,208,0.8248355984687805,133,,,11.3
69,spinning,123,107,256,207,0.7756602168083191,133,Beyblade 1,Loser,11.3
69,spinning,68,407,168,481,0.2747937738895416,100,Beyblade 2,Winner,11.3
70,spinning,110,110,242,212,0.8724660873413086,132,,,11.3
71,spinning,93,128,227,224,0.5977115631103516,134,Beyblade 2,Winner,11.3
71,stop,93,127,228,225,0.2562065124511719,135,Beyblade 1,Loser,11.3
72,spinning,79,142,212,243,0.7956407070159912,133,,,11.3
73,spinning,62,158,198,260,0.8261428475379944,136,,,11.3
74,spinning,48,180,186,282,0.6745577454566956,138,,,11.3
75,spinning,38,200,173,303,0.8571756482124329,135,Beyblade 1,Loser,11.3
75,spinning,117,360,212,440,0.650583028793335,95,Beyblade 2,Winner,11.3
76,spinning,126,348,224,413,0.9089527726173401,98,Beyblade 2,Winner,11.3
76,spinning,33,220,169,324,0.8409498929977417,136,Beyblade 1,Loser,11.3
77,spinning,138,335,234,407,0.9543551206588745,96,Beyblade 2,Winner,11.3
77,spinning,32,240,169,351,0.8526327013969421,137,Beyblade 1,Loser,11.3
78,spinning,150,322,243,393,0.947028636932373,93,Beyblade 2,Winner,11.3
78,spinning,33,258,174,365,0.8872106671333313,141,Beyblade 1,Loser,11.3
79,spinning,190,327,282,403,0.9184756278991699,92,Beyblade 2,Winner,11.3
79,spinning,9,254,153,357,0.7446815371513367,144,Beyblade 1,Loser,11.3
80,spinning,230,332,323,402,0.868015468120575,93,Beyblade 2,Winner,11.3
80,spinning,0,243,131,346,0.8584510684013367,131,Beyblade 1,Loser,11.3
81,spinning,0,235,123,336,0.9341890811920166,123,Beyblade 1,Loser,11.3
81,spinning,266,334,357,406,0.4978051483631134,91,Beyblade 2,Winner,11.3
82,spinning,0,234,113,335,0.9437883496284485,113,Beyblade 1,Loser,11.3
82,spinning,297,332,360,406,0.3319041430950165,63,Beyblade 2,Winner,11.3
83,spinning,0,241,113,341,0.932470977306366,113,Beyblade 1,Loser,11.3
83,spinning,310,326,360,397,0.7950642108917236,50,Beyblade 2,Winner,11.3
84,spinning,0,250,117,350,0.9390098452568054,117,Beyblade 1,Loser,11.3
84,spinning,315,319,360,395,0.7350694537162781,45,Beyblade 2,Winner,11.3
85,spinning,0,262,125,364,0.9479866623878479,125,Beyblade 1,Loser,11.3
85,spinning,319,311,360,388,0.7250187993049622,41,Beyblade 2,Winner,11.3
86,spinning,4,275,137,378,0.9203208088874817,133,Beyblade 1,Loser,11.3
86,spinning,308,302,360,386,0.8681879043579102,52,Beyblade 2,Winner,11.3
87,spinning,304,296,360,370,0.8924658894538879,56,Beyblade 2,Winner,11.3
87,spinning,16,288,157,390,0.8519752621650696,141,Beyblade 1,Loser,11.3
88,spinning,291,289,360,363,0.9251731634140015,69,Beyblade 2,Winner,11.3
88,spinning,35,298,181,400,0.800014317035675,146,Beyblade 1,Loser,11.3
89,spinning,279,283,360,358,0.9253512620925903,81,Beyblade 2,Winner,11.3
89,spinning,56,305,202,404,0.8498839735984802,146,Beyblade 1,Loser,11.3
90,spinning,261,277,356,351,0.9397144317626953,95,Beyblade 2,Winner,11.3
90,spinning,79,308,225,407,0.8968644142150879,146,Beyblade 1,Loser,11.3
91,spinning,244,270,339,345,0.9470503926277161,95,Beyblade 2,Winner,11.3
91,spinning,100,309,242,408,0.905901312828064,142,Beyblade 1,Loser,11.3
92,spinning,230,266,322,336,0.9432545304298401,92,Beyblade 2,Winner,11.3
92,spinning,117,306,260,409,0.8876223564147949,143,Beyblade 1,Loser,11.3
93,spinning,227,254,318,324,0.9306415915489197,91,Beyblade 2,Winner,11.3
93,spinning,124,304,264,408,0.878991425037384,140,Beyblade 1,Loser,11.3
94,spinning,219,245,312,314,0.9210745096206665,93,Beyblade 2,Winner,11.3
94,spinning,126,299,266,404,0.909261167049408,140,Beyblade 1,Loser,11.3
95,spinning,220,232,310,299,0.9217969179153442,90,Beyblade 2,Winner,11.3
95,spinning,115,299,258,404,0.8913706541061401,143,Beyblade 1,Loser,11.3
96,spinning,220,217,311,285,0.937012255191803,91,Beyblade 2,Winner,11.3
96,spinning,103,301,244,405,0.9019893407821655,141,Beyblade 1,Loser,11.3
97,spinning,219,207,309,275,0.9226158857345581,90,Beyblade 2,Winner,11.3
97,spinning,91,300,236,401,0.8796120882034302,145,Beyblade 1,Loser,11.3
98,spinning,215,200,305,268,0.9536585807800293,90,Beyblade 2,Winner,11.3
98,spinning,81,298,227,400,0.8525910973548889,146,Beyblade 1,Loser,11.3
99,spinning,208,197,298,264,0.944307804107666,90,Beyblade 2,Winner,11.3
99,spinning,75,296,218,398,0.8385772705078125,143,Beyblade 1,Loser,11.3
100,spinning,201,196,290,265,0.930777370929718,89,Beyblade 2,Winner,11.3
100,spinning,73,295,217,397,0.799028754234314,144,Beyblade 1,Loser,11.3
101,spinning,190,198,280,266,0.958911120891571,90,Beyblade 2,Winner,11.3
101,spinning,72,294,214,396,0.7932752370834351,142,Beyblade 1,Loser,11.3
102,spinning,182,200,272,270,0.9596258997917175,90,Beyblade 2,Winner,11.3
102,spinning,73,294,214,392,0.8502142429351807,141,Beyblade 1,Loser,11.3
103,spinning,171,205,261,274,0.9286777973175049,90,Beyblade 2,Winner,11.3
103,spinning,77,293,217,389,0.8894695043563843,140,Beyblade 1,Loser,11.3
104,spinning,163,208,253,276,0.9354079961776733,90,Beyblade 2,Winner,11.3
104,spinning,80,292,223,388,0.8602217435836792,143,Beyblade 1,Loser,11.3
105,spinning,153,211,244,281,0.9643985629081726,91,Beyblade 2,Winner,11.3
105,spinning,86,292,227,388,0.8956228494644165,141,Beyblade 1,Loser,11.3
106,spinning,145,217,236,286,0.9096307754516602,91,Beyblade 2,Winner,11.3
106,spinning,94,291,237,387,0.88409423828125,143,Beyblade 1,Loser,11.3
107,spinning,103,290,242,386,0.9246553182601929,139,Beyblade 1,Loser,11.3
107,spinning,139,220,230,292,0.9077197909355164,91,Beyblade 2,Winner,11.3
108,spinning,103,293,242,389,0.9121947884559631,139,Beyblade 1,Loser,11.3
108,spinning,137,220,228,289,0.9117356538772583,91,Beyblade 2,Winner,11.3
109,spinning,135,221,226,290,0.925091028213501,91,Beyblade 2,Winner,11.3
109,spinning,99,294,240,392,0.8907684683799744,141,Beyblade 1,Loser,11.3
110,spinning,132,219,223,291,0.9234327673912048,91,Beyblade 2,Winner,11.3
110,spinning,91,296,233,397,0.8816522359848022,142,Beyblade 1,Loser,11.3
111,spinning,125,219,217,291,0.9231947064399719,92,Beyblade 2,Winner,11.3
111,spinning,84,296,229,396,0.8621282577514648,145,Beyblade 1,Loser,11.3
112,spinning,120,219,211,291,0.9202371835708618,91,Beyblade 2,Winner,11.3
