Frame,Beyblade Type,Condition,X1,Y1,X2,Y2,Confidence,Width,Status,Collision,Time Per Frame (secs),Time (secs)
31,Beyblade 2,spinning,299,205,360,280,0.9126308560371399,61,Winner,No,0.03333333333333333,1.0333333333333332
31,Beyblade 1,spinning,82,226,220,330,0.906565248966217,138,Loser,No,0.03333333333333333,1.0333333333333332
32,Beyblade 2,spinning,286,206,360,281,0.9373264908790588,74,Winner,No,0.03333333333333333,1.0666666666666667
32,Beyblade 1,spinning,79,225,216,330,0.9199388027191162,137,Loser,No,0.03333333333333333,1.0666666666666667
33,Beyblade 2,spinning,267,205,356,281,0.9422594308853149,89,Winner,No,0.03333333333333333,1.1
33,Beyblade 1,spinning,79,229,216,334,0.8951265811920166,137,Loser,No,0.03333333333333333,1.1
34,Beyblade 1,spinning,81,234,219,338,0.9185442328453064,138,Loser,No,0.03333333333333333,1.1333333333333333
34,Beyblade 2,spinning,251,204,341,279,0.9045766592025757,90,Winner,No,0.03333333333333333,1.1333333333333333
35,Beyblade 2,spinning,229,204,321,280,0.9295773506164551,92,Winner,No,0.03333333333333333,1.1666666666666667
35,Beyblade 1,spinning,90,242,226,347,0.8750667572021484,136,Loser,No,0.03333333333333333,1.1666666666666667
36,Beyblade 2,spinning,206,204,299,278,0.9283660650253296,93,Winner,Yes,0.03333333333333333,1.2
36,Beyblade 1,spinning,102,254,237,356,0.8845228552818298,135,Loser,Yes,0.03333333333333333,1.2
37,Beyblade 2,spinning,195,196,286,272,0.9407572150230408,91,Winner,Yes,0.03333333333333333,1.2333333333333334
37,Beyblade 1,spinning,103,266,240,370,0.9095572233200073,137,Loser,Yes,0.03333333333333333,1.2333333333333334
38,Beyblade 2,spinning,183,192,277,267,0.930071234703064,94,Winner,No,0.03333333333333333,1.2666666666666666
38,Beyblade 1,spinning,103,277,240,382,0.9140288829803467,137,Loser,No,0.03333333333333333,1.2666666666666666
39,Beyblade 2,spinning,174,189,265,264,0.9371188282966614,91,Winner,No,0.03333333333333333,1.3
39,Beyblade 1,spinning,103,288,241,397,0.899032711982727,138,Loser,No,0.03333333333333333,1.3
40,Beyblade 2,spinning,162,188,253,263,0.9495713114738464,91,Winner,No,0.03333333333333333,1.3333333333333333
40,Beyblade 1,spinning,105,295,244,405,0.8927310705184937,139,Loser,No,0.03333333333333333,1.3333333333333333
41,Beyblade 2,spinning,150,192,241,266,0.9321408867835999,91,Winner,No,0.03333333333333333,1.3666666666666667
41,Beyblade 1,spinning,108,300,252,407,0.8746097087860107,144,Loser,No,0.03333333333333333,1.3666666666666667
42,Beyblade 2,spinning,136,197,228,272,0.9210994243621826,92,Winner,No,0.03333333333333333,1.4
42,Beyblade 1,spinning,114,300,256,406,0.8710471987724304,142,Loser,No,0.03333333333333333,1.4
43,Beyblade 2,spinning,125,205,217,280,0.9407734870910645,92,Winner,No,0.03333333333333333,1.4333333333333333
43,Beyblade 1,spinning,119,300,266,407,0.8695844411849976,147,Loser,No,0.03333333333333333,1.4333333333333333
44,Beyblade 2,spinning,117,213,210,288,0.9467195272445679,93,Winner,No,0.03333333333333333,1.4666666666666666
44,Beyblade 1,spinning,129,299,271,406,0.8907075524330139,142,Loser,No,0.03333333333333333,1.4666666666666666
45,Beyblade 2,spinning,112,225,204,299,0.9494326710700989,92,Winner,Yes,0.03333333333333333,1.5
45,Beyblade 1,spinning,136,297,277,404,0.8461477160453796,141,Loser,Yes,0.03333333333333333,1.5
46,Beyblade 2,spinning,109,235,202,310,0.9313879609107971,93,Winner,Yes,0.03333333333333333,1.5333333333333332
46,Beyblade 1,spinning,145,294,287,402,0.8352660536766052,142,Loser,Yes,0.03333333333333333,1.5333333333333332
47,Beyblade 2,spinning,105,242,199,319,0.9212225079536438,94,Winner,Yes,0.03333333333333333,1.5666666666666667
47,Beyblade 1,spinning,156,295,295,402,0.8341728448867798,139,Loser,Yes,0.03333333333333333,1.5666666666666667
48,Beyblade 2,spinning,105,249,199,326,0.9324615597724915,94,Winner,Yes,0.03333333333333333,1.6
48,Beyblade 1,spinning,165,293,304,402,0.7890529632568359,139,Loser,Yes,0.03333333333333333,1.6
49,Beyblade 2,spinning,106,255,199,332,0.9041922092437744,93,Winner,Yes,0.03333333333333333,1.6333333333333333
49,Beyblade 1,spinning,177,291,313,402,0.8280946612358093,136,Loser,Yes,0.03333333333333333,1.6333333333333333
50,Beyblade 2,spinning,106,260,200,336,0.9267189502716064,94,Winner,Yes,0.03333333333333333,1.6666666666666667
50,Beyblade 1,spinning,184,291,325,401,0.8347991704940796,141,Loser,Yes,0.03333333333333333,1.6666666666666667
51,Beyblade 2,spinning,108,265,203,341,0.925504207611084,95,Winner,Yes,0.03333333333333333,1.7
51,Beyblade 1,spinning,192,281,330,395,0.8390439748764038,138,Loser,Yes,0.03333333333333333,1.7
52,Beyblade 2,spinning,113,270,204,346,0.935554027557373,91,Winner,Yes,0.03333333333333333,1.7333333333333334
52,Beyblade 1,spinning,194,279,335,390,0.7806079387664795,141,Loser,Yes,0.03333333333333333,1.7333333333333334
53,Beyblade 2,spinning,105,270,197,344,0.9286103248596191,92,Winner,No,0.03333333333333333,1.7666666666666666
53,Beyblade 1,spinning,211,278,350,384,0.8214936256408691,139,Loser,No,0.03333333333333333,1.7666666666666666
54,Beyblade 2,spinning,96,268,190,343,0.9034831523895264,94,Winner,No,0.03333333333333333,1.8
54,Beyblade 1,spinning,223,271,359,375,0.8367782831192017,136,Loser,No,0.03333333333333333,1.8
55,Beyblade 2,spinning,94,268,185,341,0.9179089069366455,91,Winner,No,0.03333333333333333,1.8333333333333333
55,Beyblade 1,spinning,232,266,360,369,0.8553398847579956,128,Loser,No,0.03333333333333333,1.8333333333333333
56,Beyblade 2,spinning,90,269,182,343,0.9195416569709778,92,Winner,No,0.03333333333333333,1.8666666666666667
56,Beyblade 1,spinning,235,257,360,361,0.9091916084289551,125,Loser,No,0.03333333333333333,1.8666666666666667
57,Beyblade 2,spinning,90,271,183,345,0.939414918422699,93,Winner,No,0.03333333333333333,1.9
57,Beyblade 1,spinning,234,247,360,349,0.9183882474899292,126,Loser,No,0.03333333333333333,1.9
58,Beyblade 2,spinning,92,273,186,348,0.9421363472938538,94,Winner,No,0.03333333333333333,1.9333333333333333
58,Beyblade 1,spinning,233,238,360,337,0.9142220616340637,127,Loser,No,0.03333333333333333,1.9333333333333333
59,Beyblade 2,spinning,95,278,189,352,0.9296741485595703,94,Winner,No,0.03333333333333333,1.9666666666666666
59,Beyblade 1,spinning,227,228,360,327,0.8691354990005493,133,Loser,No,0.03333333333333333,1.9666666666666666
60,Beyblade 2,spinning,101,282,194,357,0.9273392558097839,93,Winner,No,0.03333333333333333,2.0
60,Beyblade 1,spinning,215,218,356,320,0.7601272463798523,141,Loser,No,0.03333333333333333,2.0
61,Beyblade 2,spinning,109,288,202,363,0.9266020655632019,93,Winner,Yes,0.03333333333333333,2.033333333333333
61,Beyblade 1,spinning,201,209,337,310,0.8859407305717468,136,Loser,Yes,0.03333333333333333,2.033333333333333
62,Beyblade 2,spinning,117,292,211,368,0.9373891353607178,94,Winner,Yes,0.03333333333333333,2.0666666666666664
62,Beyblade 1,spinning,181,206,317,305,0.8470384478569031,136,Loser,Yes,0.03333333333333333,2.0666666666666664
63,Beyblade 2,spinning,128,294,223,369,0.9211047887802124,95,Winner,Yes,0.03333333333333333,2.1
63,Beyblade 1,spinning,158,205,294,300,0.8373530507087708,136,Loser,Yes,0.03333333333333333,2.1
64,Beyblade 2,spinning,122,312,218,394,0.9139460325241089,96,Winner,No,0.03333333333333333,2.1333333333333333
64,Beyblade 1,spinning,151,182,285,284,0.8243010640144348,134,Loser,No,0.03333333333333333,2.1333333333333333
65,Beyblade 2,spinning,107,339,204,408,0.9254795908927917,97,Winner,No,0.03333333333333333,2.1666666666666665
65,Beyblade 1,spinning,150,155,283,252,0.8086915016174316,133,Loser,No,0.03333333333333333,2.1666666666666665
66,,spinning,147,133,280,232,0.7628975510597229,133,,No,0.03333333333333333,2.2
67,,spinning,143,115,276,215,0.7599303722381592,133,,No,0.03333333333333333,2.2333333333333334
68,,spinning,134,110,267,208,0.8248355984687805,133,,No,0.03333333333333333,2.2666666666666666
69,Beyblade 1,spinning,123,107,256,207,0.7756602168083191,133,Loser,No,0.03333333333333333,2.3
69,Beyblade 2,spinning,68,407,168,481,0.2747937738895416,100,Winner,No,0.03333333333333333,2.3
70,,spinning,110,110,242,212,0.8724660873413086,132,,No,0.03333333333333333,2.3333333333333335
71,Beyblade 2,spinning,93,128,227,224,0.5977115631103516,134,Winner,No,0.03333333333333333,2.3666666666666667
71,Beyblade 1,stop,93,127,228,225,0.2562065124511719,135,Loser,No,0.03333333333333333,2.3666666666666667
72,,spinning,79,142,212,243,0.7956407070159912,133,,No,0.03333333333333333,2.4
73,,spinning,62,158,198,260,0.8261428475379944,136,,No,0.03333333333333333,2.433333333333333
74,,spinning,48,180,186,282,0.6745577454566956,138,,No,0.03333333333333333,2.466666666666667
75,Beyblade 1,spinning,38,200,173,303,0.8571756482124329,135,Loser,No,0.03333333333333333,2.5
75,Beyblade 2,spinning,117,360,212,440,0.650583028793335,95,Winner,No,0.03333333333333333,2.5
76,Beyblade 2,spinning,126,348,224,413,0.9089527726173401,98,Winner,No,0.03333333333333333,2.533333333333333
76,Beyblade 1,spinning,33,220,169,324,0.8409498929977417,136,Loser,No,0.03333333333333333,2.533333333333333
77,Beyblade 2,spinning,138,335,234,407,0.9543551206588745,96,Winner,Yes,0.03333333333333333,2.5666666666666664
77,Beyblade 1,spinning,32,240,169,351,0.8526327013969421,137,Loser,Yes,0.03333333333333333,2.5666666666666664
78,Beyblade 2,spinning,150,322,243,393,0.947028636932373,93,Winner,Yes,0.03333333333333333,2.6
78,Beyblade 1,spinning,33,258,174,365,0.8872106671333313,141,Loser,Yes,0.03333333333333333,2.6
79,Beyblade 2,spinning,190,327,282,403,0.9184756278991699,92,Winner,No,0.03333333333333333,2.6333333333333333
79,Beyblade 1,spinning,9,254,153,357,0.7446815371513367,144,Loser,No,0.03333333333333333,2.6333333333333333
80,Beyblade 2,spinning,230,332,323,402,0.868015468120575,93,Winner,No,0.03333333333333333,2.6666666666666665
80,Beyblade 1,spinning,0,243,131,346,0.8584510684013367,131,Loser,No,0.03333333333333333,2.6666666666666665
81,Beyblade 1,spinning,0,235,123,336,0.9341890811920166,123,Loser,No,0.03333333333333333,2.7
81,Beyblade 2,spinning,266,334,357,406,0.4978051483631134,91,Winner,No,0.03333333333333333,2.7
82,Beyblade 1,spinning,0,234,113,335,0.9437883496284485,113,Loser,No,0.03333333333333333,2.7333333333333334
82,Beyblade 2,spinning,297,332,360,406,0.3319041430950165,63,Winner,No,0.03333333333333333,2.7333333333333334
83,Beyblade 1,spinning,0,241,113,341,0.932470977306366,113,Loser,No,0.03333333333333333,2.7666666666666666
83,Beyblade 2,spinning,310,326,360,397,0.7950642108917236,50,Winner,No,0.03333333333333333,2.7666666666666666
84,Beyblade 1,spinning,0,250,117,350,0.9390098452568054,117,Loser,No,0.03333333333333333,2.8
84,Beyblade 2,spinning,315,319,360,395,0.7350694537162781,45,Winner,No,0.03333333333333333,2.8
85,Beyblade 1,spinning,0,262,125,364,0.9479866623878479,125,Loser,No,0.03333333333333333,2.8333333333333335
85,Beyblade 2,spinning,319,311,360,388,0.7250187993049622,41,Winner,No,0.03333333333333333,2.8333333333333335
86,Beyblade 1,spinning,4,275,137,378,0.9203208088874817,133,Loser,No,0.03333333333333333,2.8666666666666667
86,Beyblade 2,spinning,308,302,360,386,0.8681879043579102,52,Winner,No,0.03333333333333333,2.8666666666666667
87,Beyblade 2,spinning,304,296,360,370,0.8924658894538879,56,Winner,No,0.03333333333333333,2.9
87,Beyblade 1,spinning,16,288,157,390,0.8519752621650696,141,Loser,No,0.03333333333333333,2.9
88,Beyblade 2,spinning,291,289,360,363,0.9251731634140015,69,Winner,No,0.03333333333333333,2.933333333333333
88,Beyblade 1,spinning,35,298,181,400,0.800014317035675,146,Loser,No,0.03333333333333333,2.933333333333333
89,Beyblade 2,spinning,279,283,360,358,0.9253512620925903,81,Winner,No,0.03333333333333333,2.966666666666667
89,Beyblade 1,spinning,56,305,202,404,0.8498839735984802,146,Loser,No,0.03333333333333333,2.966666666666667
90,Beyblade 2,spinning,261,277,356,351,0.9397144317626953,95,Winner,No,0.03333333333333333,3.0
90,Beyblade 1,spinning,79,308,225,407,0.8968644142150879,146,Loser,No,0.03333333333333333,3.0
91,Beyblade 2,spinning,244,270,339,345,0.9470503926277161,95,Winner,No,0.03333333333333333,3.033333333333333
91,Beyblade 1,spinning,100,309,242,408,0.905901312828064,142,Loser,No,0.03333333333333333,3.033333333333333
92,Beyblade 2,spinning,230,266,322,336,0.9432545304298401,92,Winner,Yes,0.03333333333333333,3.0666666666666664
92,Beyblade 1,spinning,117,306,260,409,0.8876223564147949,143,Loser,Yes,0.03333333333333333,3.0666666666666664
93,Beyblade 2,spinning,227,254,318,324,0.9306415915489197,91,Winner,Yes,0.03333333333333333,3.1
93,Beyblade 1,spinning,124,304,264,408,0.878991425037384,140,Loser,Yes,0.03333333333333333,3.1
94,Beyblade 2,spinning,219,245,312,314,0.9210745096206665,93,Winner,Yes,0.03333333333333333,3.1333333333333333
94,Beyblade 1,spinning,126,299,266,404,0.909261167049408,140,Loser,Yes,0.03333333333333333,3.1333333333333333
95,Beyblade 2,spinning,220,232,310,299,0.9217969179153442,90,Winner,Yes,0.03333333333333333,3.1666666666666665
95,Beyblade 1,spinning,115,299,258,404,0.8913706541061401,143,Loser,Yes,0.03333333333333333,3.1666666666666665
96,Beyblade 2,spinning,220,217,311,285,0.937012255191803,91,Winner,No,0.03333333333333333,3.2
96,Beyblade 1,spinning,103,301,244,405,0.9019893407821655,141,Loser,No,0.03333333333333333,3.2
97,Beyblade 2,spinning,219,207,309,275,0.9226158857345581,90,Winner,No,0.03333333333333333,3.2333333333333334
97,Beyblade 1,spinning,91,300,236,401,0.8796120882034302,145,Loser,No,0.03333333333333333,3.2333333333333334
98,Beyblade 2,spinning,215,200,305,268,0.9536585807800293,90,Winner,No,0.03333333333333333,3.2666666666666666
98,Beyblade 1,spinning,81,298,227,400,0.8525910973548889,146,Loser,No,0.03333333333333333,3.2666666666666666
99,Beyblade 2,spinning,208,197,298,264,0.944307804107666,90,Winner,No,0.03333333333333333,3.3
99,Beyblade 1,spinning,75,296,218,398,0.8385772705078125,143,Loser,No,0.03333333333333333,3.3
100,Beyblade 2,spinning,201,196,290,265,0.930777370929718,89,Winner,No,0.03333333333333333,3.3333333333333335
100,Beyblade 1,spinning,73,295,217,397,0.799028754234314,144,Loser,No,0.03333333333333333,3.3333333333333335
101,Beyblade 2,spinning,190,198,280,266,0.958911120891571,90,Winner,No,0.03333333333333333,3.3666666666666667
101,Beyblade 1,spinning,72,294,214,396,0.7932752370834351,142,Loser,No,0.03333333333333333,3.3666666666666667
102,Beyblade 2,spinning,182,200,272,270,0.9596258997917175,90,Winner,No,0.03333333333333333,3.4
102,Beyblade 1,spinning,73,294,214,392,0.8502142429351807,141,Loser,No,0.03333333333333333,3.4
103,Beyblade 2,spinning,171,205,261,274,0.9286777973175049,90,Winner,No,0.03333333333333333,3.433333333333333
103,Beyblade 1,spinning,77,293,217,389,0.8894695043563843,140,Loser,No,0.03333333333333333,3.433333333333333
